Table 1
	CON2	LAB 	LD3	PC/SNP	Other 	Total
						
1918	3.85	2.25	2.79	..	0.86 	9.75
1922	5.39	4.24	4.14	..	0.41 	14.18
1923	5.40	4.44	4.30	..	0.17 	14.31
1924	7.40	5.49	2.93	..	0.30 	16.12
1929	8.30	8.37	5.21	0.00	0.25 	22.14
1931	13.01	6.64	1.48	0.02	0.23 	21.37
1935	11.76	8.33	1.44	0.03	0.44 	22.00
1945	9.58 	11.90 	2.25 	0.05 	0.59 	24.38 
1950	12.12 	13.20 	2.62 	0.03 	0.25 	28.21 
1951	13.44 	13.89 	0.73 	0.02 	0.05 	28.13 
1955	12.84 	12.37 	0.72 	0.06 	0.12 	26.11 
1959	13.31 	12.17 	1.64 	0.10 	0.07 	27.29 
1964	11.58 	12.10 	3.08 	0.13 	0.12 	27.02 
1966	11.05 	12.99 	2.30 	0.19 	0.14 	26.67 
1970	12.72 	12.08 	2.11 	0.48 	0.17 	27.57 
1974	11.83 	11.65 	6.06 	0.80 	0.28 	30.62 
1974	10.43 	11.46 	5.35 	1.01 	0.25 	28.49 
1979	13.70 	11.51 	4.31 	0.64 	0.37 	30.53 
1983	13.01 	8.46 	7.78 	0.46 	0.20 	29.91 
1987	13.74 	10.03 	7.34 	0.54 	0.15 	31.80 
1992	14.05 	11.56 	6.00 	0.78 	0.44 	32.83 
1997	9.59 	13.52 	5.24 	0.78 	1.36 	30.50 
2001	8.34	10.72	4.81	0.66	1.02 	25.56
2005	8.78	9.55	5.99	0.59	1.52 	26.43
2010	10.70	8.61	6.84	0.66	2.21 	29.01
2015	11.29	9.35	2.42	1.64	5.29	29.98
2017	13.63	12.88	2.37	1.14	1.37	31.39
